date,realized_pnl,unrealized_pnl,total_pnl,position,spread,z_score
2023-12-19,1031646.4233398438,-80699.92065429688,950946.5026855469,1,-17.95465087890625,-1.1835811940160172
2023-12-20,1118392.2302246094,0.0,1118392.2302246094,0,-14.604736328125,-0.04218782509524299
2023-12-21,1118392.2302246094,0.0,1118392.2302246094,0,-14.257110595703125,0.1916006518253046
2023-12-22,1118392.2302246094,0.0,1118392.2302246094,0,-12.773513793945312,0.8516867538069592
2023-12-26,1118392.2302246094,0.0,1118392.2302246094,0,-12.733688354492188,0.8921368714513467
2023-12-27,1118392.2302246094,0.0,1118392.2302246094,0,-13.806838989257812,0.5557714381478
2023-12-28,1118392.2302246094,0.0,1118392.2302246094,0,-13.986007690429688,0.5387188034939242
2023-12-29,1118392.2302246094,0.0,1118392.2302246094,0,-13.082778930664062,0.9185625108293285
2024-01-02,1118392.2302246094,0.0,1118392.2302246094,0,-12.583709716796875,1.0444148052499669
2024-01-03,1118342.2302246094,-0.0,1118342.2302246094,-1,-10.378173828125,1.758548188909339
2024-01-04,1118342.2302246094,-69253.5400390625,1049088.6901855469,-1,-8.99310302734375,1.9699353935456634
2024-01-05,1118342.2302246094,-2950.286865234375,1115391.943359375,-1,-10.319168090820312,1.3138302618756579
2024-01-08,1118342.2302246094,35476.6845703125,1153818.9147949219,-1,-11.08770751953125,1.0492949481999139
2024-01-09,1118342.2302246094,44104.766845703125,1162446.9970703125,-1,-11.260269165039062,0.9295499419355785
2024-01-10,1118342.2302246094,96002.197265625,1214344.4274902344,-1,-12.2982177734375,0.5373995754988699
2024-01-11,1296733.8500976562,0.0,1296733.8500976562,0,-13.947006225585938,-0.07692708825755167
2024-01-12,1296733.8500976562,0.0,1296733.8500976562,0,-12.820419311523438,0.25973785230961005
2024-01-16,1296733.8500976562,0.0,1296733.8500976562,0,-11.519454956054688,0.6662029075996067
2024-01-17,1296733.8500976562,0.0,1296733.8500976562,0,-11.0833740234375,0.7614002611910222
2024-01-18,1296733.8500976562,0.0,1296733.8500976562,0,-10.875396728515625,0.8291687595930095
2024-01-19,1296733.8500976562,0.0,1296733.8500976562,0,-9.832656860351562,1.420193541529443
2024-01-22,1296733.8500976562,0.0,1296733.8500976562,0,-9.66033935546875,1.3939503743705637
2024-01-23,1296733.8500976562,0.0,1296733.8500976562,0,-9.856597900390625,1.1637395700846196
2024-01-24,1296733.8500976562,0.0,1296733.8500976562,0,-9.056472778320312,1.4869711834887307
2024-01-25,1296683.8500976562,-0.0,1296683.8500976562,-1,-6.785400390625,2.312367104385214
2024-01-26,1296683.8500976562,52593.994140625,1349277.8442382812,-1,-7.8372802734375,1.572805138741533
2024-01-29,1296683.8500976562,93988.037109375,1390671.8872070312,-1,-8.6651611328125,1.0527501973288684
2024-01-30,1296683.8500976562,82877.34985351562,1379561.1999511719,-1,-8.442947387695312,1.0694974799867496
2024-01-31,1296683.8500976562,457490.53955078125,1754174.3896484375,-1,-15.935211181640625,-2.5259195662515856
2024-02-01,1296683.8500976562,608806.6101074219,1905490.4602050781,-1,-18.961532592773438,-2.8075623090599957
2024-02-02,1296683.8500976562,1174669.6472167969,2471353.497314453,-1,-30.278793334960938,-3.5550112003046443
2024-02-05,1296683.8500976562,1035057.8308105469,2331741.680908203,-1,-27.486557006835938,-2.368365547819014
2024-02-06,1296683.8500976562,956182.0983886719,2252865.948486328,-1,-25.909042358398438,-1.8073074192170708
2024-02-07,1296683.8500976562,953613.28125,2250297.1313476562,-1,-25.857666015625,-1.576787272176182
2024-02-08,1296683.8500976562,900722.5036621094,2197406.3537597656,-1,-24.799850463867188,-1.2857950969309901
2024-02-09,1296683.8500976562,977643.5852050781,2274327.4353027344,-1,-26.338272094726562,-1.3355146748199687
